fecha;cliente;producto;cantidad;precio_unitario;total;vendedor;region
02/01/2025;Grupo Industrial Mares;Sensor RX-400;10;89,50;895,00;Ana Belén Rivas;Galicia
02/01/2025;InnoFlex Holdings S.A.;Licencia Panel IoT Anual;3;2400,00;7200,00;Marcos Iglesias;Galicia
03/01/2025;Autoridad Portuaria de Marbravo;Gateway IoT GW-100;5;310,00;1550,00;Ana Belén Rivas;Galicia
03/01/2025;Hospital Central del Noroeste;Módulo WiFi ESP32;20;52,00;1040,00;Lucía Pereira;Galicia
04/01/2025;Ayuntamiento de Portobello;Hora consultoría técnica;8;120,00;960,00;Javier Cao;Galicia
06/01/2025;OceanHarvest Foods S.A.;Sensor RX-400;25;89,50;2237,50;Ana Belén Rivas;Galicia
06/01/2025;AutoNorte Fabricación S.A.;Antena LoRa AL-50;15;67,00;1005,00;Marcos Iglesias;Galicia
07/01/2025;MercadoPlus Retail S.L.;Licencia Panel IoT Anual;2;2400,00;4800,00;Lucía Pereira;Galicia
07/01/2025;Hospital Universitario del Cantábrico;Sensor RX-400;12;95,00;1140,00;Javier Cao;Asturias
08/01/2025;Empresa Municipal de Aguas de Monterilla;Gateway IoT GW-100;3;310,00;930,00;Javier Cao;Asturias
08/01/2025;Grupo Industrial Mares;Módulo WiFi ESP32;30;52,00;1560,00;Ana Belén Rivas;Galicia
09/01/2025;InnoFlex Holdings S.A.;Hora formación;16;95,00;1520,00;Marcos Iglesias;Galicia
09/01/2025;Autoridad Portuaria de Marbravo;Soporte Premium 12M;1;3600,00;3600,00;Ana Belén Rivas;Galicia
10/01/2025;MetalForge Industries S.A.;Sensor RX-400;40;89,50;3580,00;Javier Cao;Asturias
10/01/2025;Ayuntamiento de Villamar;Licencia Panel IoT Anual;4;2400,00;9600,00;Lucía Pereira;Cantabria
10/01/2025;OceanHarvest Foods S.A.;Hora consultoría técnica;12;120,00;1440,00;Ana Belén Rivas;Galicia
11/01/2025;Hospital Central del Noroeste;Gateway IoT GW-100;2;310,00;620,00;Lucía Pereira;Galicia
13/01/2025;AutoNorte Fabricación S.A.;Sensor RX-400;18;95,00;1710,00;Marcos Iglesias;Galicia
