id_ticket,fecha_apertura,fecha_cierre,cliente,prioridad,categoria,descripcion_breve,tecnico_asignado,estado
TK-2024-0401,2024-10-01,2024-10-03,Grupo Industrial Mares,media,software,Panel IoT no carga datos en tiempo real,Iván Reyes,resuelto
TK-2024-0402,2024-10-01,,Autoridad Portuaria de Marbravo,alta,red,Caída total de la red en terminal de contenedores,Marta Lois,escalado
TK-2024-0403,2024-10-02,2024-10-04,MercadoPlus Retail S.L.,baja,hardware,Impresora de tickets no corta papel correctamente,Diego Vidal,resuelto
TK-2024-0404,2024-10-02,2024-10-05,Hospital Central del Noroeste,media,software,Error de autenticación en plataforma de historiales,Nuria Campos,resuelto
TK-2024-0405,2024-10-02,,InnoFlex Holdings S.A.,media,red,Latencia excesiva en dashboard de logística,Óscar Brea,pendiente
TK-2024-0406,2024-10-03,2024-10-06,OceanHarvest Foods S.A.,baja,hardware,Monitor de control en planta no enciende,Iván Reyes,resuelto
TK-2024-0407,2024-10-03,2024-10-04,AutoNorte Fabricación S.A.,media,software,Actualización firmware sensores línea de montaje,Marta Lois,resuelto
TK-2024-0408,2024-10-04,2024-10-07,Cervecera Dorada S.A.,baja,otro,Solicitud de alta de nuevo usuario en ERP,Diego Vidal,resuelto
TK-2024-0409,2024-10-04,,AgroCampo S.A.,alta,red,Pérdida intermitente de conexión WiFi en naves,Nuria Campos,escalado
TK-2024-0410,2024-10-05,2024-10-08,Ayuntamiento de Portobello,media,software,Error 503 en API de reporting municipal,Óscar Brea,resuelto
TK-2024-0411,2024-10-05,2024-10-07,Grupo Industrial Mares,baja,hardware,Teclado de terminal de operario no responde,Iván Reyes,resuelto
TK-2024-0412,2024-10-06,,Autoridad Portuaria de Marbravo,media,software,Fallo en módulo de facturación electrónica,Marta Lois,pendiente
TK-2024-0413,2024-10-06,2024-10-09,MercadoPlus Retail S.L.,media,red,Switch de planta baja sin conectividad,Diego Vidal,resuelto
TK-2024-0414,2024-10-07,2024-10-09,Hospital Central del Noroeste,alta,hardware,Sensor RX-400 sin conexión en UCI,Nuria Campos,resuelto
TK-2024-0415,2024-10-07,2024-10-10,InnoFlex Holdings S.A.,baja,otro,Cambio de contraseña masivo para departamento,Óscar Brea,resuelto
TK-2024-0416,2024-10-08,2024-10-10,OceanHarvest Foods S.A.,media,software,ERP no genera albaranes de expedición,Iván Reyes,resuelto
TK-2024-0417,2024-10-08,,AutoNorte Fabricación S.A.,media,red,Fallo en gateway GW-100 zona de pintura,Marta Lois,pendiente
TK-2024-0418,2024-10-09,2024-10-12,Cervecera Dorada S.A.,baja,hardware,Lector de código de barras no escanea,Diego Vidal,resuelto
TK-2024-0419,2024-10-09,2024-10-11,AgroCampo S.A.,media,software,Aplicación de trazabilidad muestra datos incorrectos,Nuria Campos,resuelto
TK-2024-0420,2024-10-10,,Ayuntamiento de Portobello,alta,red,Servidor DNS no resuelve dominios internos,Óscar Brea,escalado
TK-2024-0421,2024-10-10,2024-10-13,Grupo Industrial Mares,baja,otro,Solicitud de configuración de VPN para teletrabajo,Iván Reyes,resuelto
TK-2024-0422,2024-10-11,2024-10-14,Autoridad Portuaria de Marbravo,media,hardware,Cámara IP del muelle 3 sin señal de vídeo,Marta Lois,resuelto
TK-2024-0423,2024-10-11,,MercadoPlus Retail S.L.,media,software,TPV no sincroniza precios actualizados,Diego Vidal,pendiente
